gene_ID,control_12,control_26,control_11,control_14,control_6,GBM_27,GBM_29,GBM_3,GBM_8,GBM_9,metastasis_21,metastasis_22,metastasis_23,metastasis_28,metastasis_30,control_15,metastasis_16
ENSG00000186092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187634,4,2,49,19,2,6,0,13,2,18,0,0,0,4,26,189,0
ENSG00000188976,584,396,829,1089,610,730,128,1315,1178,1150,2,66,47,450,507,1243,1037
ENSG00000187961,35,12,35,49,10,94,8,122,48,40,0,26,3,80,84,87,25
ENSG00000187583,1,0,0,2,0,1,3,1,6,1,1,9,27,22,26,18,9
ENSG00000187642,0,0,0,1,4,12,1,2,4,0,2,0,2,7,10,0,1
ENSG00000188290,128,495,772,273,416,864,145,1011,211,448,11,123,112,532,632,320,791
ENSG00000187608,153,1971,717,390,1143,165,131,1217,1067,1069,29,24,152,92,171,1799,888
ENSG00000188157,879,2775,8182,2012,9881,12762,1921,32913,2693,10309,32,303,690,3732,5818,5412,1725
ENSG00000237330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12
ENSG00000131591,38,37,60,116,94,107,24,173,76,45,0,13,13,78,72,52,36
ENSG00000162571,2,10,22,0,6,4,1,3,0,0,1,0,0,8,1,0,0
ENSG00000186891,3,0,1,5,0,19,3,7,1,11,0,0,6,40,16,0,17
ENSG00000186827,11,36,49,26,54,251,42,324,43,113,1,20,11,81,127,52,32
ENSG00000078808,877,1095,1962,1934,2323,1746,297,3977,2841,3739,5,125,166,1050,1234,1911,4406
ENSG00000176022,154,124,269,408,226,249,69,451,355,291,0,4,8,107,151,240,202
ENSG00000184163,2,0,5,2,0,21,1,26,0,3,0,2,2,19,8,10,0
ENSG00000160087,255,357,539,625,583,511,74,852,366,453,0,43,29,250,293,503,776
ENSG00000162572,2,15,21,43,2,113,51,161,16,20,0,0,5,17,28,141,13
ENSG00000131584,233,319,380,512,364,1400,858,4309,686,316,2,155,91,721,808,931,455
ENSG00000169972,67,54,98,131,66,128,27,152,133,146,0,3,10,62,57,244,116
ENSG00000127054,475,473,792,959,814,1023,181,1415,914,940,0,90,66,673,728,1368,930
ENSG00000224051,108,207,484,246,413,291,60,300,207,165,0,40,8,125,142,682,165
ENSG00000169962,0,5,3,11,13,9,2,3,0,3,0,0,0,4,7,0,29
ENSG00000107404,325,296,686,552,553,849,199,748,457,467,21,59,91,410,498,1079,315
ENSG00000162576,49,88,318,37,259,217,59,483,127,333,0,0,11,198,135,0,61
ENSG00000175756,361,405,747,672,720,382,48,1006,980,1014,9,22,36,163,285,562,1530
ENSG00000221978,681,604,1136,1405,938,5167,527,3186,756,474,1,679,329,2848,3358,2856,638
ENSG00000242485,368,371,586,620,736,289,43,858,689,806,3,56,20,175,259,711,735
